"","ID","EMPLOYER","VEHPERDR","VEHPERWK","COMMTIME","NORMHOUR","SPEED","OVERTIME","CSO9FT4","CSO9FT3","CSO9FT5","CSO9FT6","CSO9FT9","CSO9FT1","CSO9FT2","CSO9FT8","CSO9FT7","EFACT1","EFACT3","EFACT9","EFACT7","EFACT2","EFACT5","EFACT6","EFACT4","C1CONT","JOBCONST","MANCONST","SELFDRIV","TECHCONS","C1CONTC","C1CONTH","C2CONT","C2CONTC","C2CONTH","CHILD616","CH616F","CHILDLT6","CHILDINH","C3H17M","FEMALE","JOBHOME","LD","MANDPRV","NOSPACE","PCNAV","SUPERVIS","UNAWARE","TSUPNO","F1NVEH","F2HWPLDI","F3HWPLMI","F4WPLHMI","F8AGEGR","F9HHSIZ","F10LT2","F10B6_15","F10B2_5","F11","F12FTWKE","F12PTWKE","F13DRLIC","F14HHLIC","F15EDUC","F16INCOM","DISTANCE","F7SEX","B4OCCUP"
"123",1110,2,1,1,40,80,54,0,0.61897,1.40292,-0.55763,1.76869,0.0539,1.65324,-1.13678,-1.61571,-1.27813,1.06489,-0.76822,-0.28835,0.53,0.58045,-0.25332,-0.39989,-0.72552,3,0,0,1,1,2,3,2,2,2,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,18,20,20,5,1,0,0,0,2,1,0,1,0,3,2,36,1,2
"124",1124,2,0.5,1,50,80,31.2,0,-0.00533,-0.89641,0.93637,-0.94855,-1.43784,-0.95494,-0.06483,0.59351,-0.80277,0.10746,-0.46539,-0.27283,0.58503,0.92357,0.33588,0.12966,-1.06392,3,0,0,1,0,3,2,3,3,3,0,0,1,1,0,0,1,5,0,1,0,0,0,0,1,13,25,25,3,4,1,0,1,2,1,0,1,1,2,2,26,2,2
"125",1130,2,1,1,75,80,40,5,0.96425,0.71998,1.66917,-0.72586,-0.53979,0.468,-0.71139,-0.05009,-0.18957,0.91573,-0.04693,0.53437,0.10829,0.03406,-0.0391,0.7914,1.0254,2,1,0,1,4,0,2,2,0,2,1,1,0,1,1,1,1,5,0,0,1,0,0,0,2,25,30,45,3,4,0,2,0,2,2,0,1,1,4,4,50,1,1
"126",1135,2,1,2,27,80,35.6,0,-1.10186,1.24882,-0.62804,-0.83315,-0.52813,-1.07201,-0.86587,1.37555,-1.38556,0.08682,-0.15349,-0.52791,0.69444,0.87498,-0.54519,0.04141,-0.05217,2,0,0,1,2,2,2,2,2,2,0,0,0,0,1,1,1,9,0,0,1,1,0,0,2,8,12,15,5,2,0,0,0,2,1,0,1,1,4,3,16,1,2
"127",1158,2,-1,1,35,80,20.6,0,-0.48162,-1.34077,-0.08646,0.84788,0.15491,0.44971,0.11449,-0.14481,-0.19875,-0.22419,-0.39835,0.73938,-0.38176,-0.58157,-1.01082,-0.23332,0.61117,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,6,15,20,4,1,0,0,0,2,1,0,2,0,3,2,12,1,5
"128",1227,2,1,1,53,80,18.1,0,-0.06382,-0.80961,0.3097,-0.89266,-1.12996,-0.85429,0.28671,0.63443,0.44095,0.0246,-0.21863,-0.84136,0.35444,0.89952,0.20219,0.22153,-0.02163,5,1,1,1,0,5,0,5,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,8,23,30,3,2,0,0,0,2,2,0,1,1,3,4,16,2,2
"129",1228,2,1,1,36,80,40,0,-0.7345,-0.88984,-0.7029,-0.07732,-0.97098,-1.64464,-0.38888,1.33525,-0.62105,0.24355,0.73359,-0.2841,-0.11549,0.35395,-0.19829,-0.00816,-0.22585,5,1,1,1,6,0,5,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,1,1,12,18,18,5,1,0,0,0,2,1,0,1,0,4,0,24,1,2
"130",1233,2,2,2,20,80,36,8,-0.65606,0.55569,-0.45904,-0.00234,0.29453,-0.20148,0.24272,1.32735,-0.82609,-0.52303,-0.32083,-0.12682,0.32921,-0.86003,0.33196,0.83701,0.73195,3,0,0,1,1,0,3,3,0,3,0,0,0,0,1,0,1,6,0,0,0,1,0,0,2,6,10,10,6,2,0,0,0,2,1,0,1,0,6,6,12,2,1
"131",1243,2,1,1,35,80,37.7,0,-0.48982,-0.8607,0.10202,-0.86474,-1.90581,-1.1145,0.87376,0.75923,1.43667,0.14442,0.81264,-1.82444,0.3182,1.05699,-0.17966,-0.0322,0.06635,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,12,0,0,0,0,0,0,3,11,15,20,3,6,0,2,0,2,2,1,1,2,3,3,22,1,2
"132",1247,2,1,1,32.5,80,18.5,0,-0.98962,-0.92312,1.62125,0.93703,-0.23022,-0.58973,1.04411,-0.96219,0.90703,-0.92931,-0.51804,-0.11768,-0.14609,0.81461,-0.93473,0.83349,0.96824,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,15,17.5,5,2,0,0,0,2,2,0,1,1,2,3,10,1,5
